flow_duration,ip_proto,srcport,dstport,byte_count,packet_count,type
1,6,2033,23670,0,0,1
1,6,41691,59115,0,0,1
1,6,41691,59115,0,0,1
1,6,35913,41644,0,0,1
1,6,35913,41644,0,0,1
1,6,17932,53334,0,0,1
1,6,17932,53334,0,0,1
1,6,43084,10764,0,0,1
1,6,43084,10764,0,0,1
0,6,24811,41780,0,0,1
0,6,24811,41780,0,0,1
0,6,18106,35491,0,0,1
0,6,18106,35491,0,0,1
0,6,6191,55806,0,0,1
0,6,6191,55806,0,0,1
0,6,7924,41828,0,0,1
0,6,7924,41828,0,0,1
0,6,43831,2963,0,0,1
0,6,43831,2963,0,0,1
0,6,5906,65530,0,0,1
0,6,5906,65530,0,0,1
0,6,7533,30031,0,0,1
0,6,7533,30031,0,0,1
10,6,15342,6812,0,0,1
9,6,15342,6812,0,0,1
9,6,47775,9290,0,0,1
9,6,47775,9290,0,0,1
9,6,59130,32601,0,0,1
9,6,59130,32601,0,0,1
9,6,42738,62997,0,0,1
9,6,42738,62997,0,0,1
9,6,7514,27858,0,0,1
9,6,7514,27858,0,0,1
9,6,43196,51756,0,0,1
9,6,43196,51756,0,0,1
9,6,13575,56826,0,0,1
8,6,13575,56826,0,0,1
8,6,48268,5155,0,0,1
8,6,48268,5155,0,0,1
8,6,40274,15535,0,0,1
8,6,40274,15535,0,0,1
8,6,4280,35025,0,0,1
8,6,4280,35025,0,0,1
8,6,56661,61194,0,0,1
8,6,56661,61194,0,0,1
8,6,51101,5847,0,0,1
8,6,51101,5847,0,0,1
8,6,18648,28126,0,0,1
8,6,18648,28126,0,0,1
7,6,31788,41854,0,0,1
7,6,31788,41854,0,0,1
7,6,62071,39135,0,0,1
7,6,62071,39135,0,0,1
7,6,4275,42608,0,0,1
7,6,4275,42608,0,0,1
7,6,2231,55989,0,0,1
7,6,2231,55989,0,0,1
7,6,43416,48122,0,0,1
7,6,43416,48122,0,0,1
7,6,19774,6912,0,0,1
7,6,19774,6912,0,0,1
7,6,50353,4412,0,0,1
6,6,50353,4412,0,0,1
6,6,11105,43414,0,0,1
6,6,11105,43414,0,0,1
6,6,43705,39046,0,0,1
6,6,43705,39046,0,0,1
6,6,11265,25675,0,0,1
6,6,11265,25675,0,0,1
6,6,29266,39750,0,0,1
6,6,29266,39750,0,0,1
6,6,12347,43122,0,0,1
6,6,12347,43122,0,0,1
6,6,36581,58822,0,0,1
6,6,36581,58822,0,0,1
5,6,36315,46895,0,0,1
5,6,36315,46895,0,0,1
5,6,59000,32801,0,0,1
5,6,59000,32801,0,0,1
5,6,39260,26339,0,0,1
5,6,39260,26339,0,0,1
5,6,61649,60224,0,0,1
5,6,61649,60224,0,0,1
5,6,19795,63791,0,0,1
5,6,19795,63791,0,0,1
5,6,46893,11073,0,0,1
5,6,46893,11073,0,0,1
4,6,29123,11604,0,0,1
4,6,29123,11604,0,0,1
4,6,62625,16931,0,0,1
4,6,62625,16931,0,0,1
4,6,30027,10366,0,0,1
4,6,30027,10366,0,0,1
4,6,53727,5767,0,0,1
4,6,53727,5767,0,0,1
4,6,38624,64324,0,0,1
4,6,38624,64324,0,0,1
4,6,53881,48519,0,0,1
4,6,53881,48519,0,0,1
4,6,31330,55859,0,0,1
4,6,31330,55859,0,0,1
3,6,27205,9253,0,0,1
3,6,27205,9253,0,0,1
3,6,58603,53552,0,0,1
3,6,58603,53552,0,0,1
3,6,2711,55575,0,0,1
3,6,2711,55575,0,0,1
3,6,13262,58530,0,0,1
3,6,13262,58530,0,0,1
3,6,15626,18246,0,0,1
3,6,15626,18246,0,0,1
3,6,45203,36775,0,0,1
3,6,45203,36775,0,0,1
2,6,4160,6019,0,0,1
2,6,4160,6019,0,0,1
2,6,32234,64084,0,0,1
2,6,32234,64084,0,0,1
2,6,2823,64778,0,0,1
2,6,2823,64778,0,0,1
2,6,2735,1054,0,0,1
2,6,2735,1054,0,0,1
2,6,48734,57206,0,0,1
2,6,48734,57206,0,0,1
2,6,35651,36787,0,0,1
2,6,35651,36787,0,0,1
2,6,41902,59134,0,0,1
1,6,41902,59134,0,0,1
1,6,64503,36784,0,0,1
1,6,64503,36784,0,0,1
1,6,16107,19999,0,0,1
1,6,16107,19999,0,0,1
1,6,6668,12601,0,0,1
1,6,6668,12601,0,0,1
1,6,6370,16933,0,0,1
1,6,6370,16933,0,0,1
1,6,35399,19239,0,0,1
1,6,35399,19239,0,0,1
1,6,47206,65391,0,0,1
1,6,47206,65391,0,0,1
0,6,61285,47749,0,0,1
0,6,61285,47749,0,0,1
0,6,8669,18843,0,0,1
0,6,8669,18843,0,0,1
0,6,21607,15109,0,0,1
0,6,21607,15109,0,0,1
0,6,8032,11324,0,0,1
0,6,8032,11324,0,0,1
0,6,38978,47594,0,0,1
0,6,38978,47594,0,0,1
0,6,19377,23414,0,0,1
0,6,19377,23414,0,0,1
0,6,34895,34265,0,0,1
0,6,34895,34265,0,0,1
10,6,15342,6812,0,0,1
9,6,15342,6812,0,0,1
9,6,47775,9290,0,0,1
9,6,47775,9290,0,0,1
9,6,59130,32601,0,0,1
9,6,59130,32601,0,0,1
9,6,42738,62997,0,0,1
9,6,42738,62997,0,0,1
9,6,7514,27858,0,0,1
9,6,7514,27858,0,0,1
9,6,43196,51756,0,0,1
9,6,43196,51756,0,0,1
9,6,13575,56826,0,0,1
8,6,13575,56826,0,0,1
8,6,48268,5155,0,0,1
8,6,48268,5155,0,0,1
8,6,40274,15535,0,0,1
8,6,40274,15535,0,0,1
8,6,4280,35025,0,0,1
8,6,4280,35025,0,0,1
8,6,56661,61194,0,0,1
8,6,56661,61194,0,0,1
8,6,51101,5847,0,0,1
8,6,51101,5847,0,0,1
8,6,18648,28126,0,0,1
8,6,18648,28126,0,0,1
7,6,31788,41854,0,0,1
7,6,31788,41854,0,0,1
7,6,62071,39135,0,0,1
7,6,62071,39135,0,0,1
7,6,4275,42608,0,0,1
7,6,4275,42608,0,0,1
7,6,2231,55989,0,0,1
7,6,2231,55989,0,0,1
7,6,43416,48122,0,0,1
7,6,43416,48122,0,0,1
7,6,19774,6912,0,0,1
7,6,19774,6912,0,0,1
7,6,50353,4412,0,0,1
6,6,50353,4412,0,0,1
6,6,11105,43414,0,0,1
6,6,11105,43414,0,0,1
6,6,43705,39046,0,0,1
6,6,43705,39046,0,0,1
6,6,11265,25675,0,0,1
6,6,11265,25675,0,0,1
6,6,29266,39750,0,0,1
6,6,29266,39750,0,0,1
6,6,12347,43122,0,0,1
6,6,12347,43122,0,0,1
6,6,36581,58822,0,0,1
6,6,36581,58822,0,0,1
5,6,36315,46895,0,0,1
5,6,36315,46895,0,0,1
5,6,59000,32801,0,0,1
5,6,59000,32801,0,0,1
5,6,39260,26339,0,0,1
5,6,39260,26339,0,0,1
5,6,61649,60224,0,0,1
5,6,61649,60224,0,0,1
5,6,19795,63791,0,0,1
5,6,19795,63791,0,0,1
5,6,46893,11073,0,0,1
5,6,46893,11073,0,0,1
4,6,29123,11604,0,0,1
4,6,29123,11604,0,0,1
4,6,62625,16931,0,0,1
4,6,62625,16931,0,0,1
4,6,30027,10366,0,0,1
4,6,30027,10366,0,0,1
4,6,53727,5767,0,0,1
4,6,53727,5767,0,0,1
4,6,38624,64324,0,0,1
4,6,38624,64324,0,0,1
4,6,53881,48519,0,0,1
4,6,53881,48519,0,0,1
4,6,31330,55859,0,0,1
4,6,31330,55859,0,0,1
3,6,27205,9253,0,0,1
3,6,27205,9253,0,0,1
3,6,58603,53552,0,0,1
3,6,58603,53552,0,0,1
3,6,2711,55575,0,0,1
3,6,2711,55575,0,0,1
3,6,13262,58530,0,0,1
3,6,13262,58530,0,0,1
3,6,15626,18246,0,0,1
3,6,15626,18246,0,0,1
3,6,45203,36775,0,0,1
3,6,45203,36775,0,0,1
2,6,4160,6019,0,0,1
2,6,4160,6019,0,0,1
2,6,32234,64084,0,0,1
2,6,32234,64084,0,0,1
2,6,2823,64778,0,0,1
2,6,2823,64778,0,0,1
2,6,2735,1054,0,0,1
2,6,2735,1054,0,0,1
2,6,48734,57206,0,0,1
2,6,48734,57206,0,0,1
2,6,35651,36787,0,0,1
2,6,35651,36787,0,0,1
2,6,41902,59134,0,0,1
1,6,41902,59134,0,0,1
1,6,64503,36784,0,0,1
1,6,64503,36784,0,0,1
1,6,16107,19999,0,0,1
1,6,16107,19999,0,0,1
1,6,6668,12601,0,0,1
1,6,6668,12601,0,0,1
1,6,6370,16933,0,0,1
1,6,6370,16933,0,0,1
1,6,35399,19239,0,0,1
1,6,35399,19239,0,0,1
1,6,47206,65391,0,0,1
1,6,47206,65391,0,0,1
0,6,61285,47749,0,0,1
0,6,61285,47749,0,0,1
0,6,8669,18843,0,0,1
0,6,8669,18843,0,0,1
0,6,21607,15109,0,0,1
0,6,21607,15109,0,0,1
0,6,8032,11324,0,0,1
0,6,8032,11324,0,0,1
0,6,38978,47594,0,0,1
0,6,38978,47594,0,0,1
0,6,19377,23414,0,0,1
0,6,19377,23414,0,0,1
0,6,34895,34265,0,0,1
0,6,34895,34265,0,0,1
10,6,15342,6812,0,0,1
9,6,15342,6812,0,0,1
9,6,47775,9290,0,0,1
9,6,47775,9290,0,0,1
9,6,59130,32601,0,0,1
9,6,59130,32601,0,0,1
9,6,42738,62997,0,0,1
9,6,42738,62997,0,0,1
9,6,7514,27858,0,0,1
9,6,7514,27858,0,0,1
9,6,43196,51756,0,0,1
9,6,43196,51756,0,0,1
9,6,13575,56826,0,0,1
8,6,13575,56826,0,0,1
8,6,48268,5155,0,0,1
8,6,48268,5155,0,0,1
8,6,40274,15535,0,0,1
8,6,40274,15535,0,0,1
8,6,4280,35025,0,0,1
8,6,4280,35025,0,0,1
8,6,56661,61194,0,0,1
8,6,56661,61194,0,0,1
8,6,51101,5847,0,0,1
8,6,51101,5847,0,0,1
8,6,18648,28126,0,0,1
8,6,18648,28126,0,0,1
7,6,31788,41854,0,0,1
7,6,31788,41854,0,0,1
7,6,62071,39135,0,0,1
7,6,62071,39135,0,0,1
7,6,4275,42608,0,0,1
7,6,4275,42608,0,0,1
7,6,2231,55989,0,0,1
7,6,2231,55989,0,0,1
7,6,43416,48122,0,0,1
7,6,43416,48122,0,0,1
7,6,19774,6912,0,0,1
7,6,19774,6912,0,0,1
6,6,50353,4412,0,0,1
6,6,50353,4412,0,0,1
6,6,11105,43414,0,0,1
6,6,11105,43414,0,0,1
6,6,43705,39046,0,0,1
6,6,43705,39046,0,0,1
6,6,11265,25675,0,0,1
6,6,11265,25675,0,0,1
6,6,29266,39750,0,0,1
6,6,29266,39750,0,0,1
6,6,12347,43122,0,0,1
6,6,12347,43122,0,0,1
6,6,36581,58822,0,0,1
6,6,36581,58822,0,0,1
5,6,36315,46895,0,0,1
5,6,36315,46895,0,0,1
5,6,59000,32801,0,0,1
5,6,59000,32801,0,0,1
5,6,39260,26339,0,0,1
5,6,39260,26339,0,0,1
5,6,61649,60224,0,0,1
5,6,61649,60224,0,0,1
5,6,19795,63791,0,0,1
5,6,19795,63791,0,0,1
5,6,46893,11073,0,0,1
5,6,46893,11073,0,0,1
4,6,29123,11604,0,0,1
4,6,29123,11604,0,0,1
4,6,62625,16931,0,0,1
4,6,62625,16931,0,0,1
4,6,30027,10366,0,0,1
4,6,30027,10366,0,0,1
4,6,53727,5767,0,0,1
4,6,53727,5767,0,0,1
4,6,38624,64324,0,0,1
4,6,38624,64324,0,0,1
4,6,53881,48519,0,0,1
4,6,53881,48519,0,0,1
4,6,31330,55859,0,0,1
4,6,31330,55859,0,0,1
3,6,27205,9253,0,0,1
3,6,27205,9253,0,0,1
3,6,58603,53552,0,0,1
3,6,58603,53552,0,0,1
3,6,2711,55575,0,0,1
3,6,2711,55575,0,0,1
3,6,13262,58530,0,0,1
3,6,13262,58530,0,0,1
3,6,15626,18246,0,0,1
3,6,15626,18246,0,0,1
3,6,45203,36775,0,0,1
3,6,45203,36775,0,0,1
2,6,4160,6019,0,0,1
2,6,4160,6019,0,0,1
2,6,32234,64084,0,0,1
2,6,32234,64084,0,0,1
2,6,2823,64778,0,0,1
2,6,2823,64778,0,0,1
2,6,2735,1054,0,0,1
2,6,2735,1054,0,0,1
